epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7217,1.50127,2.95511,1.73881,0.17382,0.30833,0.15809,0.06592,1.72569,2.98315,2.03323,0.000367273,0.000367273,0.000367273
2,83.5403,1.48674,2.47482,1.69647,0.20992,0.40754,0.18744,0.06486,1.9973,3.19394,2.23913,0.000701095,0.000701095,0.000701095
3,121.821,1.52871,2.41948,1.77967,0.17007,0.36363,0.22018,0.0805,1.90494,2.79834,2.18674,0.000998253,0.000998253,0.000998253
4,159.907,1.52617,2.41631,1.73865,0.30251,0.40855,0.27178,0.11438,1.84805,2.53487,2.10272,0.000946016,0.000946016,0.000946016
5,197.79,1.49153,2.30164,1.70941,0.28629,0.41753,0.27969,0.13414,1.7607,2.38058,2.02633,0.000891022,0.000891022,0.000891022
6,236.3,1.44775,2.23207,1.70143,0.2474,0.45554,0.27363,0.11583,1.74334,2.48643,2.04403,0.000836027,0.000836027,0.000836027
7,274.329,1.43581,2.237,1.68849,0.36083,0.43287,0.35384,0.15877,1.80987,2.31097,2.0383,0.000781033,0.000781033,0.000781033
8,312.809,1.42361,2.16587,1.67085,0.35763,0.42449,0.30892,0.12971,1.8192,2.4064,2.05141,0.000726038,0.000726038,0.000726038
9,351.118,1.37895,2.11977,1.64701,0.32772,0.43389,0.28638,0.12341,1.64865,2.41076,1.97892,0.000671044,0.000671044,0.000671044
10,389.55,1.37667,2.09135,1.6266,0.37144,0.43997,0.33608,0.15718,1.70234,2.20233,1.95197,0.000616049,0.000616049,0.000616049
11,425.471,1.55521,2.32948,1.87322,0.37048,0.43679,0.35882,0.17684,1.62826,2.19939,1.91114,0.000561055,0.000561055,0.000561055
12,461.656,1.51316,2.20799,1.84843,0.35756,0.4305,0.34254,0.15908,1.68227,2.245,1.9304,0.00050606,0.00050606,0.00050606
13,497.786,1.50115,2.14482,1.83412,0.372,0.495,0.38418,0.18882,1.66468,2.15233,1.92417,0.000451066,0.000451066,0.000451066
14,534.657,1.49323,2.11665,1.81479,0.39462,0.47213,0.37502,0.18494,1.6431,2.16489,1.89148,0.000396071,0.000396071,0.000396071
15,570.81,1.44962,2.07446,1.77192,0.40029,0.47471,0.38552,0.19039,1.61591,2.13918,1.87391,0.000341077,0.000341077,0.000341077
16,607.248,1.42198,2.05431,1.76732,0.43774,0.4501,0.41731,0.20778,1.59185,2.06206,1.87874,0.000286083,0.000286083,0.000286083
17,643.971,1.39525,2.00457,1.7446,0.39606,0.45151,0.39831,0.20451,1.60882,2.04692,1.86697,0.000231088,0.000231088,0.000231088
18,680.215,1.39137,1.9751,1.73293,0.45079,0.48951,0.43663,0.21971,1.5797,2.00138,1.82428,0.000176094,0.000176094,0.000176094
19,716.061,1.36656,1.93599,1.73332,0.41675,0.49431,0.43287,0.21158,1.56536,2.02141,1.81702,0.000121099,0.000121099,0.000121099
20,752.167,1.38033,1.91748,1.74975,0.44063,0.47704,0.42682,0.21442,1.56902,1.99631,1.81724,6.61045e-05,6.61045e-05,6.61045e-05
